City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,Luderitz,-26.6481,15.1594,80.53,39,0,34.14,NA,1699799258
179,Queenstown,-31.8976,26.8753,72.14,30,1,15.46,ZA,1699799258
180,Mazagao,-0.115,-51.2894,93.25,45,28,6.73,BR,1699799258
181,Piraquara,-25.4417,-49.0633,92.98,35,0,13.8,BR,1699799258
182,Hailin,44.5833,129.4167,1.9,94,41,5.5,CN,1699799259
183,Florence,43.7667,11.25,55.15,88,75,4.61,IT,1699799051
184,Zykovo,55.9519,93.1461,20.62,94,65,4.21,RU,1699799259
185,Alofi,-19.0595,-169.9187,71.49,94,100,17.27,NU,1699799259
186,Katsuura,35.1333,140.3,55.4,82,13,10.94,JP,1699799260
187,Mount Isa,-20.7333,139.5,71.37,73,31,0.0,AU,1699799260
188,Hammerfest,70.6634,23.6821,27.05,68,0,8.05,NO,1699799060
189,Itaituba,-4.2761,-55.9836,97.02,38,8,5.73,BR,1699799260
190,Childress,34.4264,-100.204,44.92,100,0,4.61,US,1699799261
191,Stephenville,32.2207,-98.2023,50.77,94,0,3.44,US,1699798671
192,Srivardhan,18.0333,73.0167,82.8,67,52,5.84,IN,1699799261
193,Dunedin,-45.8742,170.5036,54.72,70,68,7.36,NZ,1699799261
194,Susuman,62.7833,148.1667,-29.92,96,51,0.67,RU,1699799262
195,Valle De La Pascua,9.2155,-66.0073,84.07,64,96,7.61,VE,1699799009
196,Nizhniy Odes,63.6445,54.856,24.35,89,100,5.79,RU,1699799262
197,Manjeshvar,12.7,74.8833,85.39,75,100,2.64,IN,1699799262
198,Buriti Dos Lopes,-3.175,-41.8669,91.15,26,2,4.5,BR,1699799262
199,Grand Falls-Windsor,48.9332,-55.6649,30.51,76,41,3.0,CA,1699799263
200,Mersing,2.4312,103.8405,76.91,88,40,3.44,MY,1699799263
201,Kodiak,57.79,-152.4072,35.11,55,0,10.36,US,1699799263
202,Tukrah,32.5341,20.5791,73.67,67,23,9.35,LY,1699799263
203,Dolinsk,47.35,142.8,26.73,82,37,6.58,RU,1699799264
204,Ernee,48.2976,-0.9314,56.75,89,100,10.94,FR,1699799264
205,Polyarnyy,69.1989,33.4478,18.1,99,92,8.7,RU,1699799264
206,Santa Cruz,-17.8,-63.1667,94.46,52,20,31.07,BO,1699799264
207,Al Kharijah,25.4514,30.5464,90.43,26,98,7.16,EG,1699799264
208,College,64.8569,-147.8028,17.55,79,100,0.0,US,1699799265
209,Dudinka,69.4058,86.1778,25.63,95,100,21.0,RU,1699799265
210,Cestos City,5.46,-9.5828,82.49,77,82,8.7,LR,1699799265
211,Magadan,59.5667,150.8,11.01,69,100,9.33,RU,1699799265
212,Nuevo Ideal,24.8875,-105.0728,54.84,92,100,5.39,MX,1699799266
213,Novyy Urgal,51.0736,132.5642,6.33,93,73,1.01,RU,1699799266
214,Hithadhoo,-0.6,73.0833,82.02,79,22,7.23,MV,1699799266
215,Iskateley,67.6803,53.1512,17.02,94,18,5.99,RU,1699799266
216,Port Augusta,-32.5,137.7667,61.95,52,77,14.9,AU,1699799267
217,Gaspe,48.8334,-64.4819,33.71,86,100,6.91,CA,1699799215
218,Minab,27.1467,57.0801,81.54,47,100,6.6,IR,1699799267
219,Mianyang,31.4593,104.7542,49.59,71,100,5.88,CN,1699799267
220,Fale Old Settlement,-9.3852,-171.2468,83.23,78,11,6.76,TK,1699799267
221,Fort Bragg,35.139,-79.006,52.83,83,100,10.36,US,1699799243
222,Dauphin,51.1494,-100.0502,37.54,75,40,18.41,CA,1699799268
223,Freetown,8.484,-13.2299,85.71,74,75,9.22,SL,1699799268
224,Uturoa,-16.7333,-151.4333,80.47,81,91,8.1,PF,1699799268
225,Vilyuchinsk,52.9306,158.4028,27.93,91,92,5.88,RU,1699799269
226,Zeya,53.75,127.2667,25.48,42,7,8.01,RU,1699799269
227,Porto Novo,6.4965,2.6036,89.42,67,12,10.54,BJ,1699799269
228,Una,20.8167,71.0333,81.16,45,58,6.26,IN,1699799269
229,Pueblo Nuevo,23.3833,-105.3833,54.5,94,100,4.21,MX,1699799269
230,Shingu,33.7333,135.9833,51.64,69,11,8.5,JP,1699799270
231,Roma,43.2128,-75.4557,35.91,68,100,3.44,US,1699799270
232,Phan Rang-Thap Cham,11.5667,108.9833,77.13,87,15,6.46,VN,1699799270
233,Christchurch,-43.5333,172.6333,55.94,76,83,3.44,NZ,1699799221
234,Kemin,42.7846,75.6892,38.28,98,100,5.08,KG,1699799270
235,Enewetak,11.3474,162.3373,80.31,87,100,22.3,MH,1699799271
236,Mount Gambier,-37.8333,140.7667,45.81,94,3,3.74,AU,1699799271
237,Sal Rei,16.1833,-22.9167,88.0,33,18,9.22,CV,1699799271
238,Bakanas,44.8081,76.2772,48.78,38,100,10.45,KZ,1699799271
239,Mejit,10.2753,170.8646,81.73,80,70,24.05,MH,1699799272
240,Eirunepe,-6.6603,-69.8736,90.81,53,56,3.6,BR,1699799272
241,Skovorodino,53.9833,123.9167,15.49,70,45,3.27,RU,1699799272
242,Bredasdorp,-34.5322,20.0403,69.75,45,0,14.38,ZA,1699799272
243,N'Zeto,-7.2312,12.8666,82.24,74,88,6.93,AO,1699799272
244,Kununurra,-15.7667,128.7333,80.58,89,93,5.75,AU,1699799247
245,Richards Bay,-28.783,32.0377,67.24,86,100,14.0,ZA,1699799273
246,Tolanaro,-25.0319,46.9987,78.87,61,0,21.85,MG,1699799274
247,Halifax,44.6453,-63.5724,41.22,72,7,14.97,CA,1699799262
248,Walvis Bay,-22.9575,14.5053,81.55,41,0,12.66,NA,1699799274
249,Harper,4.375,-7.7169,81.88,78,45,8.03,LR,1699799275
250,Zima,53.9202,102.0442,12.72,95,100,1.19,RU,1699799062
251,Kristiansund,63.1115,7.732,39.85,65,0,3.44,NO,1699799275
252,Villa Gesell,-37.2639,-56.973,61.05,45,100,20.33,AR,1699799276
253,Olinda,-8.0089,-34.8553,85.73,58,75,12.66,BR,1699799276
254,Dalnerechensk,45.9339,133.7225,9.18,94,21,8.1,RU,1699799276
255,Margate,51.3813,1.3862,49.89,81,99,1.01,GB,1699798751
256,Burang,30.25,81.1667,29.23,62,0,2.08,CN,1699799277
257,Fada,9.5667,8.3,93.4,18,7,5.39,NG,1699799277
